,EntryID,Reaction,Buffer,ECNumber,CellularLocation,UniProtKB_AC,Tissue,Enzyme Variant,Enzymename,Organism,Temperature,pH,Activator,Cofactor,Inhibitor,KeggReactionID,KineticMechanismType,Other Modifier,parameter.type,parameter.associatedSpecies,parameter.startValue,parameter.endValue,parameter.standardDeviation,parameter.unit,Pathway,Product,PubMedID,Publication,Rate Equation,SabioReactionID,Substrate
95,59488,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[intracellular, plasma membrane, extracellular]",P04821,-,mutant cdc25-1, ,Saccharomyces cerevisiae,22.0,6.5, , , , ,Michaelis-Menten, ,Km,Glucose,0.0026, ,9E-4,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
96,59488,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[intracellular, plasma membrane, extracellular]",P04821,-,mutant cdc25-1, ,Saccharomyces cerevisiae,22.0,6.5, , , , ,Michaelis-Menten, ,concentration,Glucose,0.0001,0.25,-,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
97,59489,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[intracellular, extracellular, plasma membrane]",P04821,-,mutant cdc25-1, ,Saccharomyces cerevisiae,37.0,6.5, , , , ,Michaelis-Menten, ,Vmax, ,8.527778000000001e-07, ,4.722222E-8,mol*s^(-1)*g^(-1),Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
98,59489,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[intracellular, extracellular, plasma membrane]",P04821,-,mutant cdc25-1, ,Saccharomyces cerevisiae,37.0,6.5, , , , ,Michaelis-Menten, ,Km,Glucose,0.0072, ,1.6E-3,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
99,59489,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[intracellular, extracellular, plasma membrane]",P04821,-,mutant cdc25-1, ,Saccharomyces cerevisiae,37.0,6.5, , , , ,Michaelis-Menten, ,concentration,Glucose,0.0001,0.25,-,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
100,59490,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[plasma membrane, extracellular, intracellular]",P04821,-,mutant cdc25-5, ,Saccharomyces cerevisiae,22.0,6.5, , , , ,Michaelis-Menten, ,Km,Glucose,0.0027, ,3E-4,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
101,59490,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[plasma membrane, extracellular, intracellular]",P04821,-,mutant cdc25-5, ,Saccharomyces cerevisiae,22.0,6.5, , , , ,Michaelis-Menten, ,Vmax, ,6.833333000000001e-07, ,1.111111E-8,mol*s^(-1)*g^(-1),Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
102,59490,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[plasma membrane, extracellular, intracellular]",P04821,-,mutant cdc25-5, ,Saccharomyces cerevisiae,22.0,6.5, , , , ,Michaelis-Menten, ,concentration,Glucose,0.0001,0.25,-,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
103,59491,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[extracellular, plasma membrane, intracellular]",P04821,-,mutant cdc25-5, ,Saccharomyces cerevisiae,37.0,6.5, , , , ,Michaelis-Menten, ,Km,Glucose,0.0038, ,5E-4,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
104,59491,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[extracellular, plasma membrane, intracellular]",P04821,-,mutant cdc25-5, ,Saccharomyces cerevisiae,37.0,6.5, , , , ,Michaelis-Menten, ,concentration,Glucose,0.0001,0.25,-,M,Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
105,59491,Glucose = Glucose,"[100 mM potassium phosphate, 100 mM potassium phosphate]",-,"[extracellular, plasma membrane, intracellular]",P04821,-,mutant cdc25-5, ,Saccharomyces cerevisiae,37.0,6.5, , , , ,Michaelis-Menten, ,Vmax, ,9.25e-07, ,2.222222E-8,mol*s^(-1)*g^(-1),Glycolysis/Gluconeogenesis,Glucose,8757740.0,"Silljé HH, ter Schure EG, Verkleij AJ, Boonstra J, Verrips CT: The Cdc25 protein of Saccharomyces cerevisiae is required for normal glucose transport, Microbiology 1996 (142) , 1765-73",Vmax*S/(Km+S),601,Glucose
0,49400,L-Glutamine = L-Glutamine,"[5 mM Hepes, 2 mM KCl, 1.8 mM CaCl2, 1 mM MgCl2]",-,"[extracellular, membrane, intracellular, membrane]",Q794F9;Q92536,-,wildtype 4F2hc/y+LAT2, ,Homo sapiens,-,7.4, ,Na+, , ,unknown, ,concentration,Na+,0.096, ,-,M, ,L-Glutamine,10903140.0,"Bröer A, Wagner CA, Lang F, Bröer S: The heterodimeric amino acid transporter 4F2hc/y+LAT2 mediates arginine efflux in exchange with glutamine, Biochem J 2000 (349 Pt 3) , 787-95",-,13421,L-Glutamine
1,49400,L-Glutamine = L-Glutamine,"[5 mM Hepes, 2 mM KCl, 1.8 mM CaCl2, 1 mM MgCl2]",-,"[extracellular, membrane, intracellular, membrane]",Q794F9;Q92536,-,wildtype 4F2hc/y+LAT2, ,Homo sapiens,-,7.4, ,Na+, , ,unknown, ,Vmax, ,3.333333e-13, ,1.833333E-14,mol/s, ,L-Glutamine,10903140.0,"Bröer A, Wagner CA, Lang F, Bröer S: The heterodimeric amino acid transporter 4F2hc/y+LAT2 mediates arginine efflux in exchange with glutamine, Biochem J 2000 (349 Pt 3) , 787-95",-,13421,L-Glutamine
2,49400,L-Glutamine = L-Glutamine,"[5 mM Hepes, 2 mM KCl, 1.8 mM CaCl2, 1 mM MgCl2]",-,"[extracellular, membrane, intracellular, membrane]",Q794F9;Q92536,-,wildtype 4F2hc/y+LAT2, ,Homo sapiens,-,7.4, ,Na+, , ,unknown, ,Km,L-Glutamine,0.000295, ,4.2E-5,M, ,L-Glutamine,10903140.0,"Bröer A, Wagner CA, Lang F, Bröer S: The heterodimeric amino acid transporter 4F2hc/y+LAT2 mediates arginine efflux in exchange with glutamine, Biochem J 2000 (349 Pt 3) , 787-95",-,13421,L-Glutamine
3,49800,L-Glutamine = L-Glutamine,"[5 mM Tris, 10 mM HEPES, 100 mM Choline chloride, 2 mM KCl, 1 mM CaCl2, 1 mM MgCl2]",-,"[membrane, intracellular, extracellular]",Q9WVR6;Q794F9;Q9WVR6,small intestine,wildtype LAT2/4F2hc, ,Rattus norvegicus,-,7.4, , , , ,Michaelis-Menten, ,Vmax, , , ,-,-, ,L-Glutamine,10391916.0,"Segawa H, Fukasawa Y, Miyamoto K, Takeda E, Endou H, Kanai Y: Identification and functional characterization of a Na+-independent neutral amino acid transporter with broad substrate selectivity, J Biol Chem 1999 (274) , 19745-51",Vmax*A/(Km+A),13421,L-Glutamine
4,49800,L-Glutamine = L-Glutamine,"[5 mM Tris, 10 mM HEPES, 100 mM Choline chloride, 2 mM KCl, 1 mM CaCl2, 1 mM MgCl2]",-,"[membrane, intracellular, extracellular]",Q9WVR6;Q794F9;Q9WVR6,small intestine,wildtype LAT2/4F2hc, ,Rattus norvegicus,-,7.4, , , , ,Michaelis-Menten, ,Km,L-Glutamine,0.000151, ,-,M, ,L-Glutamine,10391916.0,"Segawa H, Fukasawa Y, Miyamoto K, Takeda E, Endou H, Kanai Y: Identification and functional characterization of a Na+-independent neutral amino acid transporter with broad substrate selectivity, J Biol Chem 1999 (274) , 19745-51",Vmax*A/(Km+A),13421,L-Glutamine
5,49800,L-Glutamine = L-Glutamine,"[5 mM Tris, 10 mM HEPES, 100 mM Choline chloride, 2 mM KCl, 1 mM CaCl2, 1 mM MgCl2]",-,"[membrane, intracellular, extracellular]",Q9WVR6;Q794F9;Q9WVR6,small intestine,wildtype LAT2/4F2hc, ,Rattus norvegicus,-,7.4, , , , ,Michaelis-Menten, ,concentration,L-Glutamine,3e-06,0.003,-,M, ,L-Glutamine,10391916.0,"Segawa H, Fukasawa Y, Miyamoto K, Takeda E, Endou H, Kanai Y: Identification and functional characterization of a Na+-independent neutral amino acid transporter with broad substrate selectivity, J Biol Chem 1999 (274) , 19745-51",Vmax*A/(Km+A),13421,L-Glutamine
6,50751,L-Glutamine = L-Glutamine,"[100 mM choline-Cl, 2 mM KCl, 1 mM CaCl2, 1 mM MgCl2, 10 mM HEPES, 5 mM Tris]",-,"[extracellular, membrane, intracellular]",Q01650;P08195,teratocarcinoma cell,wildtype, ,Homo sapiens,-,7.4, , , , ,Michaelis-Menten, ,Km,L-Glutamine,0.00164, ,-,M, ,L-Glutamine,11557028.0,"Yanagida O, Kanai Y, Chairoungdua A, Kim DK, Segawa H, Nii T, Cha SH, Matsuo H, Fukushima J, Fukasawa Y, Tani Y, Taketani Y, Uchino H, Kim JY, Inatomi J, Okayasu I, Miyamoto K, Takeda E, Goya T, Endou H: Human L-type amino acid transporter 1 (LAT1): characterization of function and expression in tumor cell lines, Biochim Biophys Acta 2001 (1514) , 291-302",Vmax*S/(S+Km),13421,L-Glutamine
7,50751,L-Glutamine = L-Glutamine,"[100 mM choline-Cl, 2 mM KCl, 1 mM CaCl2, 1 mM MgCl2, 10 mM HEPES, 5 mM Tris]",-,"[extracellular, membrane, intracellular]",Q01650;P08195,teratocarcinoma cell,wildtype, ,Homo sapiens,-,7.4, , , , ,Michaelis-Menten, ,Vmax, , , ,-,-, ,L-Glutamine,11557028.0,"Yanagida O, Kanai Y, Chairoungdua A, Kim DK, Segawa H, Nii T, Cha SH, Matsuo H, Fukushima J, Fukasawa Y, Tani Y, Taketani Y, Uchino H, Kim JY, Inatomi J, Okayasu I, Miyamoto K, Takeda E, Goya T, Endou H: Human L-type amino acid transporter 1 (LAT1): characterization of function and expression in tumor cell lines, Biochim Biophys Acta 2001 (1514) , 291-302",Vmax*S/(S+Km),13421,L-Glutamine
8,50751,L-Glutamine = L-Glutamine,"[100 mM choline-Cl, 2 mM KCl, 1 mM CaCl2, 1 mM MgCl2, 10 mM HEPES, 5 mM Tris]",-,"[extracellular, membrane, intracellular]",Q01650;P08195,teratocarcinoma cell,wildtype, ,Homo sapiens,-,7.4, , , , ,Michaelis-Menten, ,concentration,L-Glutamine,2.9999999999999997e-05,0.01,-,M, ,L-Glutamine,11557028.0,"Yanagida O, Kanai Y, Chairoungdua A, Kim DK, Segawa H, Nii T, Cha SH, Matsuo H, Fukushima J, Fukasawa Y, Tani Y, Taketani Y, Uchino H, Kim JY, Inatomi J, Okayasu I, Miyamoto K, Takeda E, Goya T, Endou H: Human L-type amino acid transporter 1 (LAT1): characterization of function and expression in tumor cell lines, Biochim Biophys Acta 2001 (1514) , 291-302",Vmax*S/(S+Km),13421,L-Glutamine
9,54197,L-Glutamine = L-Glutamine,"[10 mM Hepes, 100 mM NaCl, 2 mM KCl, 1 mM MgCl2, 1 mM CaCl2, 10 mM Hepes, 100 mM NaCl, 2 mM KCl, 1 mM MgCl2, 1 mM CaCl2]",-,"[unknown, extracellular, intracellular]",P08195;O13020,-,wildtype, ,Homo sapiens,22.0,7.4, , , , ,unknown, ,Km,L-Glutamine,0.0022, ,-,M, ,L-Glutamine,9751058.0,"Mastroberardino L, Spindler B, Pfeiffer R, Skelly PJ, Loffing J, Shoemaker CB, Verrey F: Amino-acid transport by heterodimers of 4F2hc/CD98 and members of a permease family., Nature 1998 (395) , 288-91",-,13421,L-Glutamine
10,54197,L-Glutamine = L-Glutamine,"[10 mM Hepes, 100 mM NaCl, 2 mM KCl, 1 mM MgCl2, 1 mM CaCl2, 10 mM Hepes, 100 mM NaCl, 2 mM KCl, 1 mM MgCl2, 1 mM CaCl2]",-,"[unknown, extracellular, intracellular]",P08195;O13020,-,wildtype, ,Homo sapiens,22.0,7.4, , , , ,unknown, ,concentration,L-Glutamine,0.0001, ,-,M, ,L-Glutamine,9751058.0,"Mastroberardino L, Spindler B, Pfeiffer R, Skelly PJ, Loffing J, Shoemaker CB, Verrey F: Amino-acid transport by heterodimers of 4F2hc/CD98 and members of a permease family., Nature 1998 (395) , 288-91",-,13421,L-Glutamine
11,57917,L-Glutamine = L-Glutamine,"[10 mM HEPES,100 mM NaCl, 2 mM KCl, 1 mM MgCl2,1 mM CaCl2,, 10 mM HEPES,100 mM NaCl, 2 mM KCl, 1 mM MgCl2,1 mM CaCl2,]",-,"[intracellular, extracellular, membrane]",Q9QXW9,-,wildtype, ,Mus musculus,22.0,7.5, , , , ,Michaelis-Menten, ,Vmax, , , ,-,-, ,L-Glutamine,10574970.0,"Rossier G, Meier C, Bauch C, Summa V, Sordat B, Verrey F, Kühn LC: LAT2, a new basolateral 4F2hc/CD98-associated amino acid transporter of kidney and intestine., J Biol Chem 1999 (274) , 34948-54",Vmax*S/(Km+S),13421,L-Glutamine
12,57917,L-Glutamine = L-Glutamine,"[10 mM HEPES,100 mM NaCl, 2 mM KCl, 1 mM MgCl2,1 mM CaCl2,, 10 mM HEPES,100 mM NaCl, 2 mM KCl, 1 mM MgCl2,1 mM CaCl2,]",-,"[intracellular, extracellular, membrane]",Q9QXW9,-,wildtype, ,Mus musculus,22.0,7.5, , , , ,Michaelis-Menten, ,Km,L-Glutamine,0.000275, ,-,M, ,L-Glutamine,10574970.0,"Rossier G, Meier C, Bauch C, Summa V, Sordat B, Verrey F, Kühn LC: LAT2, a new basolateral 4F2hc/CD98-associated amino acid transporter of kidney and intestine., J Biol Chem 1999 (274) , 34948-54",Vmax*S/(Km+S),13421,L-Glutamine
13,57917,L-Glutamine = L-Glutamine,"[10 mM HEPES,100 mM NaCl, 2 mM KCl, 1 mM MgCl2,1 mM CaCl2,, 10 mM HEPES,100 mM NaCl, 2 mM KCl, 1 mM MgCl2,1 mM CaCl2,]",-,"[intracellular, extracellular, membrane]",Q9QXW9,-,wildtype, ,Mus musculus,22.0,7.5, , , , ,Michaelis-Menten, ,concentration,L-Glutamine,0.0,0.0001,-,M, ,L-Glutamine,10574970.0,"Rossier G, Meier C, Bauch C, Summa V, Sordat B, Verrey F, Kühn LC: LAT2, a new basolateral 4F2hc/CD98-associated amino acid transporter of kidney and intestine., J Biol Chem 1999 (274) , 34948-54",Vmax*S/(Km+S),13421,L-Glutamine
0,39849,L-Glutamate = L-Glutamate,"[10 mM Hepes-KOH, 4 mM ATP, 4 mM KCl, 4 mM MgSO4, 10 mM Hepes-KOH, 4 mM ATP, 4 mM KCl, 4 mM MgSO4]",-,"[synaptic vesicle, extracellular, unknown]",Q8BLE7,brain,wildtype VGLUT2, ,Mus musculus,22.0,7.4, , , , ,unknown, ,Vmax, ,2.0316669999999997e-08, ,1.816667E-9,mol*s^(-1)*g^(-1), ,L-Glutamate,11432869.0,"Bai L, Xu H, Collins JF, Ghishan FK: Molecular and functional analysis of a novel neuronal vesicular glutamate transporter, J Biol Chem 2001 (276) , 36764-9",-,12283,L-Glutamate
1,39849,L-Glutamate = L-Glutamate,"[10 mM Hepes-KOH, 4 mM ATP, 4 mM KCl, 4 mM MgSO4, 10 mM Hepes-KOH, 4 mM ATP, 4 mM KCl, 4 mM MgSO4]",-,"[synaptic vesicle, extracellular, unknown]",Q8BLE7,brain,wildtype VGLUT2, ,Mus musculus,22.0,7.4, , , , ,unknown, ,concentration,L-Glutamate,5e-05,0.05,-,M, ,L-Glutamate,11432869.0,"Bai L, Xu H, Collins JF, Ghishan FK: Molecular and functional analysis of a novel neuronal vesicular glutamate transporter, J Biol Chem 2001 (276) , 36764-9",-,12283,L-Glutamate
2,39849,L-Glutamate = L-Glutamate,"[10 mM Hepes-KOH, 4 mM ATP, 4 mM KCl, 4 mM MgSO4, 10 mM Hepes-KOH, 4 mM ATP, 4 mM KCl, 4 mM MgSO4]",-,"[synaptic vesicle, extracellular, unknown]",Q8BLE7,brain,wildtype VGLUT2, ,Mus musculus,22.0,7.4, , , , ,unknown, ,Km,L-Glutamate,0.0011, ,2E-4,M, ,L-Glutamate,11432869.0,"Bai L, Xu H, Collins JF, Ghishan FK: Molecular and functional analysis of a novel neuronal vesicular glutamate transporter, J Biol Chem 2001 (276) , 36764-9",-,12283,L-Glutamate
3,53757,L-Glutamate = L-Glutamate,"[10 mM Tricine, 150 mM sodium gluconate, 90 mM potassium gluconate, 10 mM Tricine, 150 mM sodium gluconate, 90 mM potassium gluconate]",-,"[chloroplast envelope, cytosol, chloroplast]",Q8L7Z9,-,wildtype, ,Spinacia oleracea,22.0,7.5, , , , ,Michaelis-Menten, ,Vmax, , , ,-,-, ,L-Glutamate,12887583.0,"Renné P, Dressen U, Hebbeker U, Hille D, Flügge UI, Westhoff P, Weber AP: The Arabidopsis mutant dct is deficient in the plastidic glutamate/malate translocator DiT2, Plant J 2003 (35) , 316-31",Vmax*S/(Km+S),12283,L-Glutamate
4,53757,L-Glutamate = L-Glutamate,"[10 mM Tricine, 150 mM sodium gluconate, 90 mM potassium gluconate, 10 mM Tricine, 150 mM sodium gluconate, 90 mM potassium gluconate]",-,"[chloroplast envelope, cytosol, chloroplast]",Q8L7Z9,-,wildtype, ,Spinacia oleracea,22.0,7.5, , , , ,Michaelis-Menten, ,Km,L-Glutamate,0.00159, ,3.6E-4,M, ,L-Glutamate,12887583.0,"Renné P, Dressen U, Hebbeker U, Hille D, Flügge UI, Westhoff P, Weber AP: The Arabidopsis mutant dct is deficient in the plastidic glutamate/malate translocator DiT2, Plant J 2003 (35) , 316-31",Vmax*S/(Km+S),12283,L-Glutamate
5,53757,L-Glutamate = L-Glutamate,"[10 mM Tricine, 150 mM sodium gluconate, 90 mM potassium gluconate, 10 mM Tricine, 150 mM sodium gluconate, 90 mM potassium gluconate]",-,"[chloroplast envelope, cytosol, chloroplast]",Q8L7Z9,-,wildtype, ,Spinacia oleracea,22.0,7.5, , , , ,Michaelis-Menten, ,concentration,L-Glutamate, , ,-,-, ,L-Glutamate,12887583.0,"Renné P, Dressen U, Hebbeker U, Hille D, Flügge UI, Westhoff P, Weber AP: The Arabidopsis mutant dct is deficient in the plastidic glutamate/malate translocator DiT2, Plant J 2003 (35) , 316-31",Vmax*S/(Km+S),12283,L-Glutamate
0,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,concentration,D-Glucose,0.001,0.2,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
1,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Km,D-Glucose,0.0014, ,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
2,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,1.9e-09, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
3,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,5.8e-09, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
4,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,5.26e-07, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
5,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Km,D-Glucose,0.0172, ,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
6,59685,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, intracellular, unknown, extracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,1.78e-07, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
7,59686,H+ = H+,"[destilled water, destilled water]",-,"[intracellular, extracellular, extracellular, unknown]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Km,D-Glucose,0.0118, ,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
8,59686,H+ = H+,"[destilled water, destilled water]",-,"[intracellular, extracellular, extracellular, unknown]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,7.4e-07, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
9,59686,H+ = H+,"[destilled water, destilled water]",-,"[intracellular, extracellular, extracellular, unknown]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,4.34e-07, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
10,59686,H+ = H+,"[destilled water, destilled water]",-,"[intracellular, extracellular, extracellular, unknown]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,Km,D-Glucose,0.0013, ,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
11,59686,H+ = H+,"[destilled water, destilled water]",-,"[intracellular, extracellular, extracellular, unknown]", ,-,wildtype, ,Saccharomyces cerevisiae,30.0,5.5, , , , ,unknown,D-Glucose,concentration,D-Glucose,0.001,0.2,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
12,59687,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, extracellular, unknown, intracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,28.0,5.5, , , , ,unknown,D-Glucose,concentration,D-Glucose,0.001,0.2,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
13,59687,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, extracellular, unknown, intracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,28.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,1.3e-07, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
14,59687,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, extracellular, unknown, intracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,28.0,5.5, , , , ,unknown,D-Glucose,Km,D-Glucose,0.0135, ,-,M, ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
15,59687,H+ = H+,"[destilled water, destilled water]",-,"[extracellular, extracellular, unknown, intracellular]", ,-,wildtype, ,Saccharomyces cerevisiae,28.0,5.5, , , , ,unknown,D-Glucose,Vmax, ,3.84e-07, ,-,mol/(sec*m^2), ,H+,6264954.0,"Sigler K, Knotková A, Kotyk A: Factors governing substrate-induced generation and extrusion of protons in the yeast Saccharomyces cerevisiae., Biochim Biophys Acta 1981 (643) , 572-82",-,14473,H+
